This file was created by CMPT_IND_RETS using the 202312 CRSP database.
It contains value- and equal-weighted returns for 10 industry portfolios.

The portfolios are constructed at the end of June.

The annual returns are from January to December.

Missing data are indicated by -99.99 or -999.


  Average Value Weighted Returns -- Monthly
,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other
  2023,  -0.53,  65.68,  14.14,  -1.26,  54.01,   8.45,  31.63,   4.54,  -4.61,  19.05


  Average Equal Weighted Returns -- Annual
,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other
  1927,  26.74,  22.64,  38.93,  11.08,  40.78,  25.81,  28.54,  56.54,  42.70,  37.34
  1928,  26.75,  52.53,  52.35,  42.46,  69.58,  21.54,  50.18,  32.58,  58.22,  30.57
  1929, -37.31, -55.49, -32.08, -31.27,  -8.45,   4.26, -43.06, -17.51,  18.23, -22.02
  1930, -29.03, -42.67, -40.16, -47.31, -44.23,  -7.38, -40.80, -17.87, -22.14, -39.68
  1931, -28.40, -42.69, -50.24, -46.79, -50.87, -36.71, -40.95, -37.21, -39.02, -53.03
  1932,  23.35,  -6.94,  12.23,  42.93,  -7.67,  -9.85,  -3.01, -14.08,  -5.54,  10.33
  1933, 151.16, 172.76, 172.30, 112.38, 154.44,  45.00, 129.18,  17.40, -13.94, 115.39
  1934,  22.31,  16.27,  24.72,   7.78,  29.22, -10.38,  54.72,   6.06, -22.83,   4.55
  1935,  35.79,  84.36,  68.92,  60.71,  96.06,  62.78,  34.97,  39.72, 113.55,  60.22
  1936,  36.08,  36.47,  60.76,  69.03,  40.65,  18.25,  59.24,  23.92,  31.79,  57.75
  1937, -42.93, -57.53, -43.43, -41.44, -45.56, -38.76, -51.31, -36.17, -41.34, -49.14
  1938,  27.03,  49.89,  50.91,  14.34,  52.41,  11.70,  43.28,  32.35,  23.59,  20.37
  1939,  18.10,  -1.98,  -1.36,   6.14, -12.70,  27.94,   7.86,   4.10,   3.04,  -0.20
  1940, -10.80,   4.35,  -3.74,  -8.48,  -0.07,  -4.95,  -4.18, -10.67, -21.94, -15.40
  1941,   0.42, -21.73, -13.17,   7.87,  -7.69, -11.35,  -8.77,  10.75, -43.10,  -1.01
  1942,  27.88,  47.00,  20.21,  38.24,  54.34,  37.66,  21.97,  27.49,  37.49,  63.84
  1943,  65.07,  67.01,  39.25,  53.19,  44.69,  59.62,  87.26,  40.07, 113.34,  84.95
  1944,  34.99,  67.19,  37.97,  31.53,  33.69,  29.12,  48.04,  21.82,  14.27,  50.16
  1945,  63.92,  66.25,  56.65,  48.57,  38.01,  38.92,  83.57,  60.88,  81.75,  67.78
  1946,  -5.35, -25.59,  -7.00,   2.93, -19.26, -32.72,  -3.96,  21.19,   8.04, -21.38
  1947,  -2.08,   5.41,   1.54,  39.69,   4.72, -19.51,  -8.06, -20.87, -12.64,  -4.11
  1948, -10.01, -10.73,  -4.43,   7.95,   5.64,  -4.61,  -3.01,  -6.76,   8.66,   2.68
  1949,  26.30,  25.16,  17.51,   9.37,   8.19,  36.56,  26.94,  35.12,  36.89,  21.27
  1950,  26.25,  41.02,  46.82,  54.03,  37.01,  24.70,  21.29,  21.72,   6.38,  47.34
  1951,   3.71,  13.43,  21.14,  26.12,  24.73,  10.75,   5.94,  23.01,  25.88,  11.50
  1952,   4.46,  11.85,   6.26,   9.91,  19.06,  12.72,   6.69,  -4.79,  20.69,  16.18
  1953,  -2.78,  -9.36,  -2.55,  -6.79,  -4.51,  25.27,  -3.65,   3.79,   9.23,  -6.69
  1954,  41.30,  42.59,  69.43,  57.40,  67.57,  68.53,  43.12,  50.82,  27.79,  74.08
  1955,  10.76,  23.15,  27.40,  26.42,  17.18,  11.29,  16.27,  30.76,  12.71,  18.91
  1956,   1.15,  -1.69,  13.09,  26.32,   7.80,  -3.25,  -3.03,  10.27,   7.75,   1.00
  1957,  -6.33, -18.91, -22.28, -22.86, -11.41, -13.98,  -3.04,  24.10,   6.53, -20.26
  1958,  62.21,  76.41,  58.61,  42.15,  79.65,  77.79,  59.10,  85.48,  40.78,  64.08
  1959,  17.94,  36.01,  17.00,  -2.85,  38.32,  36.00,  20.85,  34.59,   5.39,   4.44
  1960,   9.33, -19.13, -10.62,   5.68,  -6.27,  18.10,   4.77,   6.10,  21.16,  -4.11
  1961,  35.80,  36.22,  24.70,  33.12,  19.15,  19.34,  44.39,  26.55,  31.06,  29.95
  1962, -16.21,  -3.81, -14.01,  -1.08, -25.14, -11.20, -22.74, -21.40,   0.32,  -6.26
  1963,  15.31,  20.77,  17.07,  33.38,   6.26,  25.62,   6.41,  21.08,  12.58,  21.99
  1964,  17.12,  15.46,  20.18,  24.09,   4.43,  25.26,  22.88,  17.90,  16.92,  19.91
  1965,  26.69,  56.32,  40.68,  28.69,  71.71,  39.25,  29.59,  38.00,   3.47,  34.65
  1966, -16.11, -10.13,  -4.79,   6.22,   1.99,  -1.44, -12.06,  -0.24,  -7.27,  -6.55
  1967,  79.24,  93.50,  78.18,  86.04, 107.92,  32.42,  96.65,  46.23,   5.23,  90.21
  1968,  52.51,  42.12,  32.71,  53.06,  13.70,  32.88,  68.86,  13.62,  17.86,  62.06
  1969, -29.64, -28.74, -27.64, -26.50, -28.08, -12.92, -23.26,  12.72, -14.51, -28.57
  1970,  -0.83, -14.73, -12.31,   4.90, -34.89,  -6.47, -12.19, -15.22,  17.76, -13.16
  1971,  20.58,  30.45,  16.29,   8.00,  22.27,  27.43,  27.47,  29.06,   4.94,  21.78
  1972,  -0.97,  10.74,   9.93,  19.71,   9.74,  13.20,  -7.05,   6.09,  11.39,  -0.67
  1973, -42.50, -50.42, -31.16,  11.41, -37.38, -44.38, -48.38, -39.14, -15.62, -38.26
  1974, -22.83, -27.28, -15.27, -17.36, -36.61, -23.04, -25.85, -24.23, -17.83, -27.89
  1975,  81.81,  82.76,  62.47,  39.69,  82.76,  85.70,  88.98,  58.05,  48.85,  55.07
  1976,  38.18,  59.22,  53.87,  64.40,  62.26,  53.55,  41.50,  38.20,  36.61,  51.16
  1977,  18.74,   8.63,  18.05,  31.64,  30.89,  35.72,  19.02,  29.75,  11.78,  29.08
  1978,  23.28,  19.82,  25.42,   6.21,  49.96,  35.31,  22.39,  35.83,  -0.98,  28.90
  1979,  22.67,  18.08,  41.30, 150.22,  57.86,  53.20,  28.18,  39.39,  17.78,  38.70
  1980,  23.78,  27.60,  33.58,  99.82,  74.14,  33.49,  26.72,  59.72,  16.35,  42.77
  1981,  16.30,   8.48,   0.03, -36.45,  -9.40,  21.74,  10.51,   5.39,  12.86,   3.49
  1982,  42.66,  37.77,  21.60, -41.62,  41.69,  33.11,  48.30,  53.18,  27.73,  29.23
  1983,  45.17,  48.42,  40.22,  23.83,  29.76,  20.62,  49.04,  17.24,  25.59,  42.47
  1984,  -0.77, -10.59,  -6.00, -24.52, -26.14,  -9.21, -11.76, -15.10,  21.72,  -8.08
  1985,  35.93,  15.75,  22.79, -13.66,  14.18,  38.99,  24.85,  35.70,  35.37,  37.53
  1986,  19.23,   9.27,   6.17, -17.21,  -3.57,   9.17,   8.66,   4.19,  29.64,  11.65
  1987, -10.50,  -9.78,  -1.07,  20.44, -13.05,  16.07, -20.23, -18.88,  -7.16, -10.87
  1988,  24.07,  22.60,  28.20,   7.94,  14.66,  33.30,  29.78,  23.26,  22.36,  15.28
  1989,  14.89,   3.98,  11.12,  36.03,   4.64,  39.07,   6.52,  15.79,  27.68,   7.27
  1990, -23.66, -36.70, -18.76,  -2.63, -20.71, -29.36, -25.79,  -2.33,  -2.29, -30.71
  1991,  42.71,  53.05,  44.46,   8.49,  68.76,  40.17,  55.41, 154.01,  23.55,  45.59
  1992,  17.87,  38.21,  23.27,  17.85,  32.61,  16.85,  32.86,   8.72,  14.27,  45.11
  1993,  16.90,  36.97,  29.08,  29.50,  27.67,  84.95,  18.99,  -3.60,  15.52,  31.71
  1994,  -7.37, -11.54,   4.36,   2.18,   8.19,  -8.84, -14.54, -13.94,  -9.40,  -4.44
  1995,  12.94,   4.68,  18.22,  18.16,  55.10,  30.15,   8.37,  68.58,  27.80,  35.70
  1996,   8.30,  27.18,  19.42,  64.14,  11.47,   0.38,  15.15,  13.64,  13.63,  20.49
  1997,  13.75,  15.04,  25.10,  18.32,   8.40,  31.59,  12.91,   3.32,  29.72,  38.92
  1998,  -4.58,   4.32, -14.26, -47.47,   7.10,  18.92,   7.56, -12.62,   9.95,  -4.27
  1999,  -4.07,   9.92,  11.16,  24.65, 132.32, 137.16,   6.81,  44.62,   1.16,   7.86
  2000,  -3.85, -17.09,  -4.68,  92.07, -39.33, -55.46, -25.65,  28.78,  45.52,  -3.58
  2001,  27.77,  27.40,  12.28, -11.97,  13.54, -12.88,  48.20,  47.04,  -1.40,  29.88
  2002,   5.18,  -5.93, -10.50,  -9.32, -29.80, -41.00,  -8.35, -33.18, -11.85,   2.39
  2003,  41.66,  45.18,  58.35,  78.03, 119.29,  80.01,  63.74, 116.43,  29.35,  58.88
  2004,  23.43,   5.92,  32.83,  50.60,  12.13,   6.35,  26.46,  15.95,  20.52,  23.72
  2005,   0.64, -15.06,   7.18,  66.47,  -1.86, -15.14,   8.21,  -3.51,  12.50,   6.01
  2006,  20.54,  18.31,  25.23,   7.31,  12.22,  18.56,  17.44,  11.33,  22.06,  17.34
  2007,  -9.67, -10.82,   7.29,   8.10,   0.90, -10.13, -14.64,  -4.84,  11.96, -16.81
  2008, -43.68, -63.30, -49.53, -54.56, -49.79, -56.78, -45.77, -40.06, -20.90, -41.47
  2009,  80.86, 130.68,  69.04,  66.70,  93.43, 119.37, 100.09,  98.16,  18.74,  25.96
  2010,  27.76,  33.63,  38.24,  38.38,  35.23,  32.10,  31.40,  21.97,  13.38,  21.34
  2011,  -8.25, -23.99, -10.49,  -8.27, -13.97, -10.04,  -0.71, -10.95,  18.24, -10.44
  2012,  29.45,  17.59,  17.71, -11.97,   9.62,  16.90,  19.51,  25.44,   6.18,  25.86
  2013,  44.81,  55.68,  47.89,  19.78,  48.05,  69.15,  40.40,  56.15,  21.00,  42.23
  2014,  11.86,   8.52,  -0.54, -38.72,   3.30,  -4.14,   0.18,  14.20,  21.89,   8.06
  2015,  -1.61, -10.75, -16.14, -46.98,  -4.65,   4.76, -12.59,   2.35,  -5.93,  -3.08
  2016,  18.35,  28.58,  30.33,  37.88,  17.74,  13.85,  11.55, -11.21,  32.98,  30.89
  2017,  12.56,  14.15,  18.00, -12.54,  27.39,  14.65,   2.00,  25.49,  11.58,  14.46
  2018,  -7.93, -28.14, -21.09, -36.95,  -5.55, -15.31, -13.06, -22.48,   3.01, -13.64
  2019,  15.68,  25.14,  21.81, -18.00,  30.34,   6.32,  15.98,  25.96,  20.86,  26.37
  2020,  21.83,  90.53,  37.09, -27.05,  72.93,  13.41,  40.05,  63.63,  -0.47,  12.54
  2021,  22.19,  23.69,  29.33,  99.57,  16.93,  25.86,  47.33, -10.98,  23.10,  32.33
  2022, -31.19, -36.22, -20.21,  59.87, -38.61, -36.49, -25.92, -42.11,   7.89, -18.58
  2023,  -1.28,  -2.63,  17.16,  -4.93,  18.67,   3.68,  13.21,   1.62,  -0.92,   8.34


  Number of Firms in Portfolios
,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other
192607,     90,     37,    127,     51,     18,      5,     41,      7,     21,    113
192608,     90,     37,    127,     51,     18,      5,     41,      7,     21,    113
192609,     90,     37,    127,     50,     18,      5,     41,      7,     21,    113
192610,     90,     37,    127,     50,     18,      5,     41,      7,     21,    113
192611,     90,     37,    127,     50,     18,      5,     41,      7,     21,    113
192612,     89,     37,    127,     50,     18,      5,     41,      7,     21,    112
192701,     89,     37,    127,     49,     18,      5,     41,      7,     21,    112
192702,     87,     37,    127,     49,     18,      5,     41,      7,     21,    111
192703,     87,     37,    127,     49,     18,      5,     41,      7,     21,    111
192704,     87,     37,    127,     49,     18,      4,     41,      7,     21,    110
192705,     87,     37,    127,     49,     18,      4,     41,      7,     21,    110
192706,     87,     37,    126,     49,     18,      4,     41,      7,     21,    110
192707,     98,     43,    129,     55,     19,      5,     46,      7,     23,    122
192708,     98,     43,    128,     55,     19,      5,     46,      7,     23,    122
192709,     98,     43,    128,     55,     19,      5,     46,      7,     23,    122
192710,     98,     43,    128,     55,     19,      5,     46,      7,     23,    122
192711,     97,     43,    126,     55,     18,      5,     46,      7,     23,    122
192712,     97,     43,    126,     55,     18,      5,     46,      7,     23,    122
192801,     96,     43,    126,     55,     18,      5,     46,      7,     23,    122
192802,     96,     43,    126,     55,     18,      5,     46,      7,     23,    122
192803,     96,     43,    125,     55,     18,      5,     46,      6,     22,    122
192804,     96,     43,    125,     55,     18,      5,     46,      6,     22,    122
192805,     96,     43,    125,     55,     18,      4,     46,      6,     22,    122
192806,     96,     43,    125,     55,     18,      4,     45,      6,     22,    122
192807,    105,     45,    139,     56,     19,      4,     51,      6,     23,    122
192808,    105,     44,    139,     56,     19,      4,     51,      6,     23,    122
192809,    105,     44,    139,     56,     19,      4,     51,      6,     23,    122
192810,    105,     44,    139,     56,     19,      4,     51,      6,     23,    121
192811,    105,     44,    139,     56,     19,      4,     51,      6,     23,    121
192812,    104,     44,    139,     56,     19,      4,     51,      6,     23,    121
192901,    103,     43,    139,     56,     19,      4,     51,      5,     23,    120
192902,    103,     43,    139,     56,     19,      4,     51,      5,     23,    120
192903,    103,     43,    139,     56,     18,      4,     51,      5,     23,    120
192904,    103,     43,    139,     56,     18,      4,     51,      5,     23,    120
192905,    102,     43,    139,     56,     18,      4,     51,      5,     22,    120
192906,    101,     43,    139,     56,     18,      4,     51,      5,     22,    119
192907,    122,     50,    169,     61,     20,      4,     60,      6,     23,    132
192908,    122,     50,    168,     61,     20,      4,     60,      6,     23,    132
192909,    122,     50,    168,     61,     20,      4,     60,      6,     23,    131
192910,    121,     50,    168,     60,     20,      4,     60,      6,     22,    130
192911,    121,     50,    168,     60,     20,      4,     60,      6,     22,    130
192912,    120,     50,    168,     60,     20,      4,     60,      6,     22,    129
193001,    120,     50,    168,     59,     20,      4,     60,      6,     22,    128
193002,    119,     49,    168,     59,     20,      4,     60,      6,     22,    128
193003,    119,     49,    167,     59,     20,      4,     60,      5,     22,    128
193004,    118,     49,    166,     58,     20,      4,     60,      5,     22,    127
193005,    118,     49,    165,     58,     20,      4,     60,      5,     22,    127
193006,    117,     48,    164,     58,     20,      4,     60,      4,     22,    126
193007,    117,     53,    196,     59,     27,      4,     70,      5,     23,    143
193008,    117,     53,    196,     58,     27,      4,     70,      5,     23,    143
193009,    117,     53,    196,     57,     27,      4,     70,      5,     23,    143
193010,    117,     53,    195,     56,     27,      4,     70,      5,     23,    143
193011,    117,     52,    195,     56,     27,      4,     70,      5,     23,    143
193012,    117,     52,    195,     56,     27,      4,     70,      5,     23,    143
193101,    117,     52,    194,     56,     27,      4,     70,      5,     23,    142
193102,    117,     52,    192,     56,     27,      4,     70,      5,     23,    142
193103,    116,     52,    192,     56,     27,      4,     70,      5,     23,    141
193104,    116,     52,    192,     56,     26,      4,     70,      5,     23,    141
193105,    116,     51,    192,     56,     26,      4,     70,      5,     23,    141
193106,    116,     51,    192,     56,     26,      4,     70,      5,     23,    140
193107,    119,     51,    204,     57,     26,      4,     72,      6,     23,    141
193108,    119,     51,    204,     57,     26,      4,     72,      6,     23,    140
193109,    119,     51,    204,     57,     26,      4,     72,      6,     22,    140
193110,    118,     51,    203,     57,     26,      4,     72,      6,     22,    139
193111,    118,     51,    203,     57,     26,      4,     72,      6,     22,    139
193112,    118,     50,    201,     57,     26,      4,     72,      6,     22,    138
193201,    118,     50,    201,     57,     26,      4,     72,      6,     22,    138
193202,    118,     50,    201,     57,     26,      4,     72,      6,     22,    138
193203,    117,     50,    200,     57,     26,      4,     71,      6,     22,    138
193204,    116,     50,    200,     56,     26,      4,     71,      6,     22,    134
193205,    115,     50,    200,     55,     26,      4,     71,      6,     22,    134
193206,    113,     50,    199,     55,     26,      4,     69,      6,     22,    132
193207,    113,     51,    203,     54,     25,      4,     69,      6,     22,    133
193208,    112,     50,    203,     54,     25,      4,     69,      6,     22,    133
193209,    111,     50,    203,     53,     25,      4,     69,      6,     22,    133
193210,    111,     50,    203,     53,     25,      4,     69,      6,     22,    133
193211,    110,     50,    203,     53,     25,      4,     69,      6,     22,    133
193212,    108,     50,    202,     53,     25,      4,     69,      6,     22,    132
193301,    108,     50,    202,     53,     25,      4,     69,      6,     22,    132
193302,    108,     50,    202,     53,     25,      4,     68,      6,     22,    132
193303,    108,     49,    201,     53,     25,      4,     68,      6,     22,    132
193304,    108,     49,    201,     53,     25,      4,     68,      6,     22,    132
193305,    108,     49,    199,     53,     25,      4,     68,      6,     22,    132
193306,    108,     47,    198,     52,     25,      4,     66,      6,     22,    132
193307,    109,     47,    201,     54,     27,      4,     66,      6,     22,    138
193308,    109,     47,    201,     54,     27,      4,     66,      6,     21,    138
193309,    109,     47,    201,     54,     27,      4,     66,      6,     21,    137
193310,    109,     47,    201,     54,     27,      4,     66,      6,     21,    137
193311,    109,     47,    201,     54,     27,      4,     66,      6,     21,    137
193312,    109,     47,    201,     54,     26,      4,     66,      6,     21,    137
193401,    109,     47,    201,     54,     26,      4,     66,      6,     21,    136
193402,    109,     47,    201,     54,     26,      4,     66,      6,     21,    136
193403,    109,     47,    201,     54,     26,      4,     66,      6,     21,    136
193404,    109,     47,    201,     54,     26,      4,     66,      6,     21,    136
193405,    109,     47,    200,     53,     26,      4,     66,      6,     21,    136
193406,    109,     47,    200,     53,     26,      4,     66,      6,     21,    136
193407,    111,     47,    200,     54,     27,      4,     68,      9,     21,    142
193408,    111,     47,    200,     54,     27,      4,     68,      9,     21,    142
193409,    111,     47,    200,     54,     27,      4,     68,      9,     21,    142
193410,    111,     47,    199,     54,     27,      4,     68,      9,     21,    138
193411,    111,     47,    198,     54,     27,      4,     68,      9,     21,    138
193412,    111,     47,    198,     54,     27,      4,     68,      9,     21,    138
193501,    111,     47,    198,     54,     27,      4,     68,      9,     21,    137
193502,    111,     45,    198,     54,     27,      4,     68,      9,     21,    137
193503,    111,     45,    198,     54,     27,      4,     68,      9,     21,    137
193504,    111,     44,    198,     54,     27,      4,     68,      9,     21,    137
193505,    111,     44,    198,     54,     26,      4,     68,      9,     21,    136
193506,    111,     44,    198,     54,     26,      4,     68,      9,     21,    136
193507,    109,     46,    200,     54,     26,      4,     69,      9,     21,    139
193508,    109,     46,    199,     54,     26,      4,     69,      9,     21,    139
193509,    108,     46,    199,     54,     26,      4,     69,      9,     21,    137
193510,    108,     46,    199,     54,     26,      4,     69,      9,     21,    137
193511,    108,     46,    199,     54,     26,      4,     69,      9,     21,    137
193512,    108,     46,    199,     53,     26,      4,     69,      9,     21,    137
193601,    108,     46,    199,     53,     26,      4,     69,      9,     21,    137
193602,    108,     46,    199,     52,     26,      4,     69,      9,     21,    137
193603,    107,     46,    199,     52,     26,      4,     68,      9,     21,    137
193604,    107,     46,    198,     52,     26,      4,     68,      9,     21,    137
193605,    107,     46,    198,     52,     26,      4,     67,      9,     21,    137
193606,    107,     46,    198,     52,     26,      4,     67,      9,     21,    137
193607,    119,     49,    211,     54,     27,      4,     70,     10,     21,    143
193608,    119,     49,    210,     54,     27,      4,     70,     10,     21,    142
193609,    119,     49,    210,     54,     27,      4,     70,     10,     21,    142
193610,    119,     49,    209,     53,     27,      4,     70,     10,     21,    141
193611,    119,     49,    209,     53,     27,      4,     70,     10,     21,    141
193612,    119,     49,    209,     52,     27,      4,     70,     10,     21,    141
193701,    119,     48,    209,     52,     27,      4,     70,     10,     21,    138
193702,    119,     48,    209,     52,     27,      4,     70,     10,     21,    138
193703,    119,     48,    209,     51,     27,      4,     70,     10,     21,    138
193704,    119,     48,    207,     51,     27,      4,     70,     10,     21,    138
193705,    119,     48,    207,     51,     27,      4,     70,     10,     21,    138
193706,    119,     48,    207,     51,     27,      4,     70,     10,     21,    138
193707,    124,     52,    226,     53,     30,      4,     74,     12,     22,    145
193708,    124,     52,    226,     53,     30,      4,     74,     12,     22,    145
193709,    124,     52,    226,     52,     30,      4,     74,     12,     22,    145
193710,    124,     52,    226,     52,     30,      4,     74,     12,     22,    145
193711,    124,     52,    226,     52,     30,      4,     74,     12,     22,    145
193712,    124,     52,    226,     52,     30,      4,     74,     12,     22,    145
193801,    124,     52,    226,     52,     30,      4,     74,     12,     22,    145
193802,    124,     52,    226,     52,     30,      4,     74,     12,     22,    145
193803,    124,     52,    226,     52,     30,      4,     74,     12,     22,    145
193804,    124,     52,    226,     52,     30,      4,     74,     12,     22,    144
193805,    124,     52,    225,     52,     30,      4,     73,     12,     22,    143
193806,    124,     52,    225,     52,     30,      4,     73,     12,     22,    143
193807,    126,     53,    237,     54,     30,      5,     74,     12,     23,    147
193808,    125,     53,    236,     54,     30,      5,     73,     12,     23,    146
193809,    125,     53,    236,     54,     30,      5,     73,     12,     23,    146
193810,    125,     53,    236,     54,     30,      5,     73,     12,     23,    145
193811,    125,     53,    236,     54,     30,      5,     73,     12,     23,    144
193812,    125,     53,    236,     53,     30,      5,     72,     12,     23,    141
193901,    125,     53,    236,     53,     30,      5,     72,     12,     23,    141
193902,    125,     53,    236,     53,     30,      5,     72,     12,     23,    141
193903,    125,     53,    236,     53,     30,      5,     72,     12,     23,    141
193904,    125,     53,    236,     53,     30,      5,     72,     12,     23,    140
193905,    124,     53,    236,     53,     30,      5,     72,     12,     23,    140
193906,    124,     53,    236,     53,     30,      5,     72,     12,     23,    139
193907,    124,     53,    239,     52,     30,      6,     73,     12,     23,    138
193908,    124,     53,    239,     52,     30,      6,     73,     12,     23,    136
193909,    124,     53,    238,     52,     30,      6,     73,     12,     23,    134
193910,    124,     53,    238,     52,     30,      6,     73,     12,     23,    133
193911,    124,     53,    238,     52,     30,      6,     73,     12,     23,    132
193912,    124,     53,    238,     52,     30,      6,     73,     12,     23,    132
194001,    124,     53,    238,     51,     30,      6,     73,     12,     23,    132
194002,    124,     53,    238,     51,     30,      6,     73,     12,     23,    132
194003,    124,     53,    238,     51,     30,      6,     73,     12,     23,    132
194004,    124,     53,    238,     51,     30,      6,     73,     12,     23,    132
194005,    123,     52,    238,     51,     30,      6,     73,     12,     23,    132
194006,    123,     52,    238,     51,     30,      6,     73,     12,     23,    132
194007,    125,     55,    247,     51,     30,      6,     74,     13,     24,    138
194008,    124,     55,    247,     51,     30,      6,     74,     13,     24,    137
194009,    124,     55,    247,     51,     30,      6,     74,     13,     24,    135
194010,    124,     55,    247,     51,     30,      6,     74,     13,     24,    134
194011,    124,     55,    247,     51,     30,      6,     74,     13,     24,    134
194012,    123,     54,    247,     50,     30,      6,     74,     13,     24,    134
194101,    123,     54,    247,     50,     30,      6,     74,     13,     24,    134
194102,    123,     54,    247,     49,     30,      6,     74,     13,     24,    134
194103,    123,     54,    247,     49,     30,      6,     74,     13,     24,    134
194104,    123,     54,    247,     49,     30,      6,     74,     13,     24,    134
194105,    123,     54,    247,     49,     30,      6,     74,     13,     24,    134
194106,    123,     54,    247,     49,     30,      6,     74,     13,     24,    133
194107,    124,     54,    254,     50,     31,      7,     75,     13,     26,    138
194108,    124,     54,    254,     50,     31,      7,     75,     13,     26,    137
194109,    124,     54,    254,     50,     31,      7,     75,     13,     26,    137
194110,    124,     54,    254,     50,     31,      7,     75,     13,     26,    137
194111,    124,     54,    254,     50,     31,      7,     75,     13,     26,    136
194112,    124,     54,    254,     50,     31,      7,     75,     13,     26,    136
194201,    124,     54,    254,     50,     31,      7,     75,     13,     26,    136
194202,    124,     54,    254,     50,     31,      7,     75,     13,     26,    136
194203,    124,     53,    254,     50,     31,      7,     75,     13,     26,    136
194204,    124,     53,    254,     50,     31,      7,     75,     13,     26,    136
194205,    124,     53,    254,     50,     31,      7,     75,     13,     26,    136
194206,    124,     53,    254,     50,     31,      7,     75,     13,     26,    136
194207,    124,     55,    259,     50,     32,      7,     74,     14,     26,    138
194208,    124,     55,    259,     50,     32,      7,     74,     14,     26,    138
194209,    124,     55,    259,     50,     32,      7,     74,     14,     26,    138
194210,    124,     55,    259,     50,     32,      7,     73,     14,     26,    138
194211,    124,     55,    259,     50,     32,      7,     73,     14,     26,    138
194212,    124,     55,    259,     49,     32,      7,     73,     14,     26,    138
194301,    124,     55,    259,     49,     32,      7,     73,     14,     26,    138
194302,    124,     55,    258,     49,     32,      7,     73,     14,     26,    138
194303,    124,     55,    257,     49,     32,      7,     73,     14,     26,    138
194304,    124,     55,    257,     48,     32,      7,     73,     14,     26,    138
194305,    124,     55,    257,     48,     32,      7,     73,     14,     26,    138
194306,    124,     55,    257,     48,     32,      7,     73,     14,     26,    137
194307,    125,     56,    257,     49,     33,      7,     73,     14,     26,    137
194308,    125,     56,    257,     49,     33,      7,     73,     14,     26,    137
194309,    125,     56,    257,     49,     33,      7,     73,     14,     26,    137
194310,    125,     56,    257,     48,     33,      7,     73,     14,     26,    137
194311,    125,     56,    257,     47,     33,      7,     73,     14,     26,    137
194312,    125,     56,    257,     47,     33,      7,     73,     14,     26,    135
194401,    125,     56,    257,     46,     33,      7,     73,     14,     26,    133
194402,    125,     56,    257,     46,     33,      7,     73,     14,     26,    132
194403,    125,     56,    257,     46,     33,      7,     73,     14,     26,    132
194404,    125,     56,    257,     46,     33,      7,     73,     14,     26,    132
194405,    125,     56,    257,     46,     33,      7,     73,     14,     25,    132
194406,    125,     56,    257,     46,     33,      7,     73,     14,     25,    132
194407,    127,     56,    267,     48,     36,      7,     74,     15,     29,    135
194408,    127,     56,    267,     48,     36,      7,     74,     15,     29,    135
194409,    127,     56,    267,     48,     36,      7,     73,     15,     29,    135
194410,    126,     56,    267,     48,     36,      7,     73,     15,     29,    134
194411,    126,     56,    267,     48,     36,      7,     73,     15,     29,    134
194412,    126,     56,    267,     48,     36,      7,     73,     15,     29,    133
194501,    126,     55,    267,     48,     36,      7,     73,     15,     29,    133
194502,    126,     55,    267,     48,     36,      7,     73,     15,     29,    133
194503,    126,     55,    267,     48,     36,      7,     73,     15,     29,    133
194504,    126,     55,    267,     48,     36,      7,     73,     15,     29,    133
194505,    126,     55,    267,     48,     36,      7,     73,     15,     29,    133
194506,    126,     55,    267,     48,     36,      7,     73,     15,     29,    133
194507,    131,     56,    273,     49,     39,      7,     79,     16,     30,    138
194508,    131,     56,    273,     49,     39,      7,     79,     16,     30,    138
194509,    131,     56,    273,     49,     39,      7,     79,     16,     30,    138
194510,    130,     56,    273,     49,     39,      7,     79,     16,     30,    138
194511,    130,     56,    273,     48,     39,      7,     79,     16,     30,    137
194512,    130,     56,    273,     48,     39,      7,     79,     16,     30,    137
194601,    130,     56,    272,     48,     39,      7,     79,     16,     30,    137
194602,    129,     56,    272,     48,     39,      7,     79,     16,     30,    137
194603,    129,     56,    272,     48,     39,      7,     79,     16,     30,    137
194604,    129,     56,    272,     48,     39,      7,     79,     16,     30,    137
194605,    129,     56,    272,     48,     39,      7,     79,     16,     30,    137
194606,    129,     55,    272,     48,     39,      7,     79,     16,     30,    137
194607,    138,     57,    288,     50,     41,      7,     79,     18,     35,    142
194608,    138,     57,    288,     50,     41,      7,     78,     18,     35,    142
194609,    138,     57,    288,     50,     41,      7,     78,     18,     35,    142
194610,    138,     57,    288,     50,     41,      7,     77,     18,     35,    142
194611,    138,     57,    288,     50,     40,      7,     77,     18,     35,    142
194612,    138,     57,    288,     50,     40,      7,     77,     18,     35,    142
194701,    138,     57,    288,     50,     40,      7,     77,     18,     35,    142
194702,    138,     57,    288,     50,     40,      7,     77,     18,     35,    142
194703,    138,     57,    288,     50,     40,      7,     77,     18,     35,    142
194704,    138,     57,    288,     50,     40,      7,     77,     18,     35,    142
194705,    138,     57,    288,     50,     40,      7,     77,     18,     35,    142
